DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35400119,481,0.06609470489,0.6429264483,0.2804486587,-0.8025520707,4,4,4,1
35400120,424,0.06694814337,0.6010956793,-0.02661464801,-1.032770361,4,4,3,1
35400121,411,-0.44596632,0.07289581333,0.5306395425,-1.210705647,3,4,4,1
35400122,484,-1.059936861,0.2294105591,-0.2719149609,-0.5991329105,1,4,3,2
35400123,421,-0.8433969378,-0.1137400235,-0.1940110945,-1.274679658,1,3,3,1
35400124,525,-0.8956020583,-0.03838244288,-0.2736477333,-0.8447866323,1,3,3,1
35400125,532,-0.08477689965,0.5705901422,0.2975370229,-0.7465777377,3,4,4,2
35400126,490,-0.4772724477,-0.9262526202,-0.03312479667,-0.8970845002,2,1,3,1
35400127,431,-1.085500041,-0.5337382015,-0.3536606194,-0.7345050158,1,2,2,2
35400128,451,-0.6146782926,-0.8078347738,-0.6639332069,-0.4773841502,2,1,2,3
35400129,414,-0.576516846,0.1324635673,-0.03778244321,-0.2703620545,2,4,3,3
35400130,603,-0.3151780673,0.2853469933,1.1950316,-0.5520887791,3,4,5,2
35400131,485,0.4512849104,0.5891008616,0.2378589711,-0.6712788082,4,4,4,2
35400132,433,0.2156951889,0.5320740888,0.2930693199,-0.7852950167,4,4,4,2
35400133,489,0.130376473,0.05782633412,0.3326524793,-1.246269868,4,4,4,1
35400134,469,0.6716192912,0.2325408923,0.8502943697,-0.8431096004,4,4,5,1
35400135,501,0.188702457,0.009202090603,0.6152192656,-1.228983014,4,3,5,1
35400136,450,0.3718063824,1.196486488,0.217121679,-0.6447279815,4,5,4,2
35400137,462,-0.184744208,1.08651232,-0.00217818025,-1.001749787,3,5,3,1
35400138,437,-0.797471101,-0.5624152871,-0.7941461674,-0.9637511294,1,2,1,1
35400139,498,-0.09099708123,-0.2705563375,0.8530194259,-0.801634049,3,3,5,1
35400140,581,0.08766603555,-0.112575089,0.3476747118,-0.7025514222,4,3,4,2
35400141,610,0.1354883478,0.2137558213,1.028985918,-0.8854472649,4,4,5,1
35400142,665,0.4067863585,-0.3219556029,1.346733434,-1.193546834,4,3,5,1
35400143,540,-0.278779792,-0.3373182646,0.3255424799,-0.8494908878,3,3,4,1
35400144,539,-0.1642238036,-0.5467878458,0.003838494892,-1.179310021,3,2,3,1
35400145,469,-0.611098732,-0.2518853451,-0.4502149667,-0.9614328951,2,3,2,1
35400146,402,-0.5644748538,-0.0443009158,-0.5201913825,-1.00029137,2,3,2,1
35400147,424,-0.4584853064,-0.06469830433,-0.5873652204,-1.297973022,3,3,2,1
35400148,463,0.5200525866,-0.7253554628,0.510605414,-0.8762571061,4,2,4,1
35400149,444,0.1394098848,-0.4287250452,-0.3408872841,-0.9690012963,4,2,2,1
35400150,530,-0.5388767309,-0.398142794,-0.298122466,-0.7158930179,2,3,3,2
35400151,586,-0.6346790874,-0.6422641516,1.965153308,-0.9502451985,2,2,5,1
35400152,595,-0.1289189158,-0.5912346427,0.1601616529,-0.8290519815,3,2,4,1
35400153,527,0.8165975477,0.6799553206,0.07134591103,-0.8854880604,5,5,4,1
35400154,619,0.2539620181,-0.1301644935,1.656878734,-0.8682559023,4,3,5,1
35400155,489,0.1710118414,-0.4741891135,0.07385429596,-0.9363827671,4,2,4,1
35400156,655,0.5647765799,0.108692835,1.425631769,-0.9148178246,4,4,5,1
35400157,563,0.1910192064,0.4324999215,-0.1282372071,-0.4338933695,4,4,3,3
35400158,547,-0.3914807658,-0.5218761476,-0.07442877182,-0.9924697343,3,2,3,1
35400159,513,-0.2015049442,0.2295736864,0.530335199,-0.816617777,3,4,4,1
35400160,424,0.177438577,1.964932798,-0.168549435,-0.4979075823,4,5,3,2
35400161,376,0.1259281616,3.079638412,0.04327489229,-0.564811508,4,5,3,2
35400162,422,-0.656109246,-0.6167049116,0.4700024632,-0.8931743493,2,2,4,1
35400163,437,-0.6917370222,0.6348639035,-0.532640515,-0.9997279555,2,4,2,1
35400164,354,-0.6707248686,-0.7012408991,0.3604024961,-0.970612438,2,2,4,1
35400165,358,-0.6882675422,-0.5263227952,-0.5144985829,-0.9722160951,2,2,2,1
35400166,580,-0.1598645571,-0.5903312773,0.9313180791,-1.119331835,3,2,5,1
35400167,387,-0.3948607643,-0.2574163895,-0.2606031006,-0.8641686135,3,3,3,1
35400168,508,-0.06949576351,0.02283549209,0.607841416,-1.126281717,4,4,5,1
35400169,576,0.09282931324,-0.1861412228,0.6714113499,-0.9204202831,4,3,5,1
35400170,409,-0.5878227594,-0.2713366137,0.07305738697,-0.9752275661,2,3,4,1
35400171,473,-0.5355709627,-1.070603048,-0.2758314276,-0.7550486764,2,1,3,2
35400172,582,-0.08209189603,-0.4193992907,0.5278799243,-1.052938601,3,3,4,1
35400173,471,-0.06228220956,-1.427145709,1.43281474,-1.146449497,4,1,5,1
35400174,396,-0.6690538436,-0.3725912729,-0.05255236004,-0.997683188,2,3,3,1
35400175,609,-0.07322693112,-1.241713423,2.234877795,-1.189366794,4,1,5,1
35400176,442,-0.6969153551,-0.3795915177,0.3398219486,-0.543764818,2,3,4,2
35400177,495,-0.1594597233,-0.3768757947,1.403018278,-0.9672881467,3,3,5,1
35400178,523,0.1144373577,-0.6927872408,1.999449564,-1.128376579,4,2,5,1
35400179,592,0.9327611211,0.5921329732,1.199965355,-0.6197533889,5,4,5,2
35400180,472,0.06534668792,0.9127324164,0.02096456434,-0.6215783796,4,5,3,2
35400181,507,0.7666390628,0.6855630972,0.4377148219,-0.8293370278,5,5,4,1
35400182,506,0.67264279,-0.01943319138,1.181162877,-1.002965687,4,3,5,1
35400183,493,0.5923258447,-0.2644675382,0.6991381317,-1.076842874,4,3,5,1
35400184,541,1.090368734,-0.2787872045,1.184320527,-0.5770510411,5,3,5,2
35400185,491,-0.1641531787,-0.3795000267,0.9932906575,-0.9067805899,3,3,5,1
35400186,595,0.01833447978,-0.748895914,1.960109905,-0.972900946,4,2,5,1
35400187,481,-0.4274810125,-1.191898343,2.116444795,-0.7865874027,3,1,5,2
35400188,485,-0.7750164647,-1.124399597,0.4051687801,-0.7023364677,2,1,4,2
35400189,469,0.2205184705,-0.5145007615,0.5063873101,-1.270926377,4,2,4,1
35400190,512,0.5277231254,0.3166234682,0.7022387537,-0.9123555222,4,4,5,1
35400191,516,0.8743700576,0.04207750945,0.06775724429,-0.5661246404,5,4,4,2
35400192,445,0.3012897071,0.1137841256,0.5656996335,-1.070758403,4,4,4,1
35400193,755,-0.7999452891,-0.7497791532,-0.1781418902,-0.9515974349,1,2,3,1
