DAUID,instability,deprivation,dependency,ethnic_concentration,year,patient_volume
35010228,-0.3030639572,-0.9318173889,0.8785502312,-0.4879493932,2016,0.0
35010229,-0.5184481684,-0.6606596044,0.26266561,-0.6091098589,2016,0.0
35010230,-0.7357268801,-1.212825684,0.6769474604,-0.4322970874,2016,0.0
35010231,-0.5227030825,-0.6655526221,0.632253513,-0.639004505,2016,0.0
35010232,-0.5602404389,0.2738914285,0.6058329799,-1.128427479,2016,0.0
35010233,-0.3958369309,-0.3286911155,0.9003000011,-0.8245033144,2016,0.0
35010234,-0.2498605608,0.4443911653,0.1150588561,-0.8454930155,2016,0.0
35010235,1.610793808,-0.07227234045,2.510279186,-0.9571053564,2016,0.0
35010237,1.296903508,1.560136737,2.266860927,-0.7279342751,2016,0.0
35010238,1.515629917,2.154263585,0.6363792572,-0.5989210901,2016,0.0
35010239,1.273198376,1.211120797,0.8397295688,-0.8055378933,2016,0.0
35010240,0.8472521857,2.275188222,-0.7374824825,-0.7154581341,2016,0.0
35010241,0.7269025243,2.572685096,-0.2721898049,-0.2994334173,2016,0.0
35010242,0.6558756032,2.312699847,-0.06484695978,-0.7578688855,2016,0.0
35010243,0.3971257623,2.054537397,0.3409789053,-0.5949006422,2016,0.0
35010244,0.9917459192,2.292225897,0.1636339848,-0.3749828088,2016,0.0
35010245,0.901020777,2.381374874,0.1412982718,-0.8386923885,2016,0.0
35010246,1.028630493,0.3737158313,0.8834024967,-0.6388680004,2016,0.0
35010247,2.630755937,1.588885438,3.817124659,-1.365087661,2016,0.0
35010248,2.546595537,1.513889895,10.05126067,-1.414181562,2016,0.0
35010249,0.7604913908,1.263346987,0.9614172381,-0.8958192528,2016,0.0
35010250,-0.03752212852,0.2535911669,-0.008909110218,-1.114820816,2016,0.0
35010251,-0.7813022252,-0.1159355285,0.2996684046,-0.6371356298,2016,0.0
35010252,-0.03136107832,0.477189538,0.2541070102,-0.7680254118,2016,0.0
35010253,0.002312263968,-0.1136040286,0.2959351638,-0.5261988837,2016,0.0
35010254,-0.7007045967,-0.3574401268,0.6863463978,-0.6095403445,2016,0.0
35010255,-0.3923408504,0.7522288494,0.3481455519,-0.4598468209,2016,0.0
35010256,-0.4014417963,0.706742877,0.1017994428,-1.086389034,2016,0.0
35010257,0.4341363582,-0.1374250609,0.6837840396,-0.8153073144,2016,0.0
35010258,-0.2496519592,-0.1005265927,0.4427810613,-0.6271074038,2016,0.0
35010259,0.1236285335,-1.736925657,0.7727360909,-0.8502421419,2016,0.0
35010260,0.04170015072,1.113577078,-0.3929082233,-0.1928489814,2016,0.0
35010261,-0.1444159286,1.123029064,0.6221572216,-0.9267469816,2016,0.0
35010262,-0.03952301976,0.1317438602,1.290762234,-0.8888265707,2016,0.0
35010263,-0.5913922011,-1.159205593,1.682952569,-0.9381778433,2016,0.0
35010264,0.4222555631,0.1736742415,1.251910492,-0.5584618129,2016,0.0
35010265,-0.6221520266,-0.7055077553,0.7196036596,-0.8339254684,2016,0.0
35010266,0.7522831611,0.6850586595,1.46100486,-0.5405824493,2016,0.0
35010267,0.03187548762,1.013101968,0.9598478446,-1.131055544,2016,0.0
35010268,1.853489401,1.636469725,0.8793194333,-0.5567553142,2016,0.0
35010269,0.2229820099,0.02319119948,2.040409949,-0.7870735959,2016,0.0
35010270,1.573020103,3.246133487,0.01337487267,-0.6303586734,2016,0.0
35010271,0.7124279436,2.756269124,-0.484981063,-0.334911513,2016,0.0
35010272,1.249804257,3.348452278,-0.1658888422,-0.3440813221,2016,0.0
35010273,-0.5624642522,-0.07529202767,0.3050943633,-1.069540122,2016,0.0
35010274,-0.7019777198,-0.3419380419,0.7500463847,-0.8885402111,2016,0.0
35010275,-0.7702658776,-0.13411467,0.2591086875,-0.7796985542,2016,0.0
35010276,-0.7245742034,-0.5481557159,-0.6651504664,-0.7699903313,2016,0.0
35010277,-0.720790639,-0.3089151324,-0.4793519163,-0.8574670485,2016,0.0
35010278,-0.8748135773,-0.4328968501,0.1817902572,-0.7251597771,2016,0.0
35010279,-0.6414970655,-0.3604429598,0.1768825764,-1.212811723,2016,0.0
35010280,-1.039108531,-0.1098564085,-0.1395570194,-0.7821361686,2016,0.0
35010281,-0.6423294582,0.0370667626,-0.1200331761,-1.241782868,2016,0.0
35010282,-0.6150218,-0.9043913298,-0.520600733,-0.8782225319,2016,0.0
35010283,-0.6343297923,-0.01110007658,-0.1828515311,-0.948375197,2016,0.0
35010284,-0.7044675989,-0.4162304791,-0.3621291656,-0.9321424398,2016,0.0
35010285,-0.4231221929,0.5435613933,0.5672133757,-1.194389278,2016,0.0
35010286,-0.5479926413,-0.8021579188,-0.1408531456,-1.091532118,2016,0.0
35010287,-0.4558000919,-0.05999681247,-0.2138402963,-0.9229308931,2016,0.0
35010288,-0.227817267,-0.3440423815,-0.7680084578,-0.9335992289,2016,0.0
35010289,-0.1530834716,-1.099281991,-0.724947305,-0.6972261638,2016,0.0
35010290,-0.792086689,-0.5599274507,-1.217619457,-0.8856510958,2016,0.0
35010291,-0.6738050843,-0.7725431571,-0.7339912552,-0.7279020282,2016,0.0
35010292,-0.6182535584,-1.167896843,-0.6130682536,-0.9933453298,2016,0.0
35010293,-0.4712982399,-0.1095870452,-0.582831311,-0.7948952961,2016,0.0
35010294,-0.4686771627,0.03111428016,0.3098557594,-0.6490186083,2016,0.0
35010295,-0.2090605059,0.3604982604,0.6190496202,-0.6307230762,2016,0.0
35010296,0.3060940447,0.5415213575,0.8656354665,-0.9728193222,2016,0.0
35010297,-0.1590961672,-0.4872718963,-0.6493505171,-1.283920523,2016,0.0
35010298,-0.8290468306,-0.4354450817,0.2247606587,-0.9975062382,2016,0.0
35010299,-0.6331250025,-0.7087591825,-0.1432893805,-1.015236829,2016,0.0
35010300,-0.5856882846,-0.1188691666,-0.2527199935,-0.9503860472,2016,0.0
35010301,-0.5133024375,0.01441996015,0.3802935016,-1.049029694,2016,0.0
35010302,-0.1185829085,0.06317778278,1.281663602,-0.6531405694,2016,0.0
35010303,-0.8108123391,0.4859047071,0.5894569715,-0.9848975343,2016,0.0
35010304,0.02089580446,0.788109162,2.548152885,-0.7950506065,2016,0.0
35010305,-0.4992666049,-1.198243997,0.8569463983,-1.153213119,2016,0.0
35010306,-0.4130025118,-0.1719665197,1.512254411,-0.8107676785,2016,0.0
35010307,-0.4561197467,0.2805560208,1.445029012,-1.120870698,2016,0.0
35010308,0.2166087056,-0.002003849856,1.538106336,-0.8012746151,2016,0.0
35010309,0.5070786337,2.693823126,0.7078087541,-0.4489154492,2016,0.0
35010310,0.3460924202,0.2263217804,1.639707416,-1.120582168,2016,0.0
35010311,-0.6661890292,1.088441764,0.8100850616,-1.074031626,2016,0.0
35010312,-0.6668214799,-0.2381184274,0.1894688819,-0.9080594849,2016,0.0
35010313,-0.5053898848,-0.6927258443,0.7373509601,-0.9046199756,2016,0.0
35010314,0.2338943601,-0.3561257125,1.672273641,-1.036908329,2016,0.0
35010315,-0.2862990819,-0.4483568075,0.464823173,-0.9358495388,2016,0.0
35010316,0.0435789455,0.3960893555,0.7799184008,-1.352626883,2016,0.0
35010317,-0.5508969034,-0.4608720945,0.1771980691,-0.6337435142,2016,0.0
35010318,0.4807298212,0.3722125385,0.6748495813,-0.7295897384,2016,0.0
35010319,-0.3377623981,-0.6217269856,0.5037738721,-0.5850039793,2016,0.0
35010320,-0.7845680656,-1.132314819,-0.0339728971,-0.7771542646,2016,0.0
35010321,-0.7665957306,-0.311300987,-0.1750372032,-0.5037754647,2016,0.0
35010322,-0.7505266617,0.02741032354,-0.3969579457,-0.8521369824,2016,0.0
35010323,-0.307162793,-0.8300464278,1.4431796,-0.9683600212,2016,0.0
35010324,-0.0109004371,0.2814106191,1.598983066,-0.9223825808,2016,0.0
35010325,0.7573600921,0.111650036,1.876661362,-1.033876984,2016,0.0
35010326,-0.4955132725,-0.02903240272,0.620921943,-1.033789829,2016,0.0
35010327,-0.676459749,0.4801917775,-0.1782521144,-1.219152956,2016,0.0
35010328,-0.8778576216,0.5146817828,0.2292299752,-0.8716844184,2016,0.0
35010329,-0.4806594393,-0.2562002474,-0.1686540405,-1.124556443,2016,0.0
35010330,-0.5559274321,0.1443997807,0.1223939569,-0.5809095449,2016,0.0
35010331,-0.611510503,-0.2122556298,0.2412092619,-1.014036515,2016,0.0
35010332,-0.6257690259,-0.3690121386,-0.3192633279,-0.8348220555,2016,0.0
35010333,-0.3322799873,-0.07886915152,-0.08621795372,-0.8493004799,2016,0.0
35010334,0.5905519265,0.05721883257,1.284386115,-0.8133748049,2016,0.0
35010335,-0.3851938563,-0.7769587943,0.1356680094,-1.194926738,2016,0.0
35010336,1.03068885,0.7884728371,1.677701493,-0.56439983,2016,0.0
35010337,-0.4757764968,-0.2756329948,-0.139824355,-0.7827003274,2016,0.0
35010338,-0.4688163775,-0.7098528314,-0.505575026,-1.113073723,2016,0.0
35010339,-1.075369457,-0.4950389118,-0.3902560566,-0.7121274937,2016,0.0
35010340,-0.8001905655,-0.02289350966,-0.4853642398,-1.052654917,2016,0.0
35010341,-0.546544967,-0.3046374308,0.05760405447,-1.299606934,2016,0.0
35010342,-0.2470477762,-0.7587079784,-0.2498835101,-1.07238915,2016,0.0
35010343,-0.554508166,-0.3611196576,-0.2083131577,-1.159263948,2016,0.0
35010344,-0.4740809499,-0.6622501701,-0.1659129785,-0.611334401,2016,0.0
35010345,-0.5701727262,-0.5928625671,-0.744233296,-1.064976637,2016,0.0
35010346,-0.1717357102,-0.5570318758,0.203656698,-0.730812404,2016,0.0
35010347,-0.6200642957,-0.8386272657,-0.2745611514,-0.9738467081,2016,0.0
35010348,-0.7698548597,-0.3351630068,-0.1990669502,-1.33194895,2016,0.0
35010349,0.1580634935,-0.02686802472,1.648903405,-1.14154846,2016,0.0
35010350,0.04644875086,-0.257499518,-0.4804612247,-1.240941824,2016,0.0
35010351,-0.1661700495,-0.03018829343,-0.1305170494,-0.9300350826,2016,0.0
35010352,-0.5981829701,-0.3073433559,-0.4860371798,-1.15886557,2016,0.0
35010353,-0.841355422,-0.1959476268,-0.1240416958,-1.079486592,2016,0.0
35010354,-0.4227365595,-0.4393988079,0.2067694426,-0.9848391673,2016,0.0
35010355,-0.982873986,0.1864576859,-0.234697993,-0.9590694544,2016,0.0
35010356,-0.7017680992,0.1122776061,0.07087227842,-0.5226989105,2016,0.0
35010357,-0.5956597003,-0.420933156,-0.3673401803,-0.7974438459,2016,0.0
35010358,-0.8345886567,-0.2104854322,0.09030466728,-0.6160292253,2016,0.0
35010359,-0.4893692167,0.002903085237,1.415386465,-1.076289416,2016,0.0
35010360,-0.8413892705,-0.5820406559,0.318804813,-1.173867636,2016,0.0
35010361,1.083710518,0.7443842007,1.03732085,-0.7227989254,2016,0.0
35010362,0.01964810723,0.3020826987,0.5008618383,-0.8585397167,2016,0.0
35010363,0.960155331,0.8135948771,1.88200421,-0.7319358677,2016,0.0
35010364,0.009662874757,0.9436795098,0.101594578,-0.6739222394,2016,0.0
35010365,1.370900543,1.653278434,1.606988463,-1.057461241,2016,0.0
35010366,-0.1203784999,1.51647178,1.627127474,-0.7915144481,2016,0.0
35010367,-0.3043092341,-0.4796786468,1.000030043,-1.063839084,2016,0.0
35010369,-0.2177902473,-0.3005749562,0.06379550685,-1.069166896,2016,0.0
35010370,-0.5034189052,-0.3939862848,0.2440361525,0.1575393287,2016,0.0
35010371,-0.4907264636,-0.7756753073,-0.1056015587,-0.7840646255,2016,0.0
35010372,-0.4587394612,0.6785928365,-0.3246853644,-0.7518013003,2016,0.0
35010373,0.8539806383,0.4680537036,1.018289982,-0.8120955932,2016,0.0
35010374,-0.2063899319,1.564363463,0.4129838782,-0.0442704795,2016,0.0
35010375,-0.7633894947,-0.9711400301,1.558611047,-0.5357988271,2016,0.0
35010376,-0.2547362325,-1.020408943,0.800951768,-1.127558131,2016,0.0
35010377,,,,,2016,0.0
35010378,,,,,2016,0.0
35010379,,,,,2016,0.0
35010380,,,,,2016,0.0
35010381,,,,,2016,0.0
35010382,,,,,2016,0.0
35010383,,,,,2016,0.0
35010384,,,,,2016,0.0
35010385,,,,,2016,0.0
35010386,,,,,2016,0.0
35010387,,,,,2016,0.0
35010388,,,,,2016,0.0
35010389,,,,,2016,0.0
35010390,,,,,2016,0.0
35010391,,,,,2016,0.0
35010392,,,,,2016,0.0
35010393,,,,,2016,0.0
35010394,,,,,2016,0.0
35010395,,,,,2016,0.0
35010396,,,,,2016,0.0
35010397,,,,,2016,0.0
35010398,,,,,2016,0.0
35010399,-0.06049487291,-0.4056939857,1.058535895,-0.8056052342,2016,0.0
35010400,0.5339552542,-0.1502936369,1.675045238,-1.113221635,2016,0.0
35010401,-0.6976937422,-0.4822939026,0.08439221522,-0.8744115033,2016,0.0
35010402,-0.9051280877,-0.6508385964,0.02683048856,-0.774816864,2016,0.0
35010403,-0.0575633808,0.07525062556,0.667660055,-0.9557505831,2016,0.0
35010404,0.01931696529,-0.7692342793,1.416078344,-1.408320705,2016,0.0
35010405,-0.3116143672,-0.6533712032,-0.7036498296,-0.5863443862,2016,0.0
35010406,-0.5126907688,-0.7910695732,0.5396310581,-0.9893340176,2016,0.0
35010407,,,,,2016,0.0
35010408,,,,,2016,0.0
35010409,,,,,2016,0.0
35010410,-0.7930602816,0.05964348835,-0.1958907943,-1.106323996,2016,0.0
35020064,-0.4770499143,-0.595206484,-0.1931906284,-0.5837628016,2016,0.0
35020065,-0.5991246524,-0.9308480535,0.3262721597,-0.7814538652,2016,0.0
35020066,0.3247562114,-0.2032525178,0.596558424,-0.6751511063,2016,0.0
35020067,0.7525348279,0.8122260551,-0.1886724888,-0.5683466063,2016,0.0
35020068,0.6665278841,1.12503469,0.003440325968,-0.6924895374,2016,0.0
35020069,0.8545022469,1.087027622,0.6675411055,-0.8069431497,2016,0.0
35020070,-0.2182553758,-0.1155218005,-0.4687755268,-0.5740453496,2016,0.0
35020071,0.2270175658,-0.1064480046,0.3614446292,-0.5575155914,2016,0.0
35020072,-0.7958066963,0.06056172145,-1.061897467,-0.3941013533,2016,0.0
35020073,-0.7912031348,-0.7407665783,-0.6161908248,-0.3261075761,2016,0.0
35020075,0.09231820585,-0.3225406848,-0.4686031022,-0.2902023275,2016,0.0
35020076,0.1706605452,-0.7531293346,1.594748324,-0.8685286266,2016,0.0
35020077,1.107243938,-0.2252452511,2.727726498,-0.8872365388,2016,0.0
35020078,-0.3178839182,-0.8378513788,-0.03506512415,-0.6484052501,2016,0.0
35020091,-0.3924141141,-0.8909651269,-0.8789708691,-0.1788888095,2016,0.0
35020092,-0.6973934203,-0.8948979291,0.7053556227,-0.7775822467,2016,0.0
35020093,-0.5117481126,-0.8403509208,-0.06400877071,-0.8952298548,2016,0.0
35020094,0.1479717412,0.1934596559,0.1295243426,-0.5817779586,2016,0.0
35020095,0.7407217319,0.1636050872,0.8996406049,-0.5182220014,2016,0.0
35020096,-0.5647978357,-0.2372527014,1.352313313,-1.14097006,2016,0.0
35020097,-0.7118664973,-0.1393952143,-0.4693558541,-1.025518255,2016,0.0
35020098,-0.3660174269,-0.3887105984,1.037304091,-1.248890759,2016,0.0
35020099,0.4182178082,1.1282212,0.415076826,-0.8499870877,2016,0.0
35020100,0.1791581894,0.00723875071,1.097299674,-0.8213078475,2016,0.0
35020101,-0.210970137,-0.5087315138,0.02747241121,-0.8531316584,2016,0.0
35020102,-0.2111941674,-0.04418205337,1.246827916,-0.9609902533,2016,0.0
35020103,-0.2924113396,0.0352825191,-0.07670258132,-0.97189918,2016,0.0
35020104,0.04797388112,0.669115512,0.3473934584,-0.4856463474,2016,0.0
35020105,-0.4530714107,-0.6055648072,0.1531824655,-1.015096762,2016,0.0
35020106,-0.1627297344,-0.5830812796,-0.006471938665,-1.008766925,2016,0.0
35020107,-0.7531755725,-0.177379906,-0.3374198911,-0.6297360233,2016,0.0
35020108,-0.0261380446,-0.2587052285,-0.4427230571,-0.880242079,2016,0.0
35020109,-0.3859395433,-0.5641057193,0.4559209513,-0.9941067046,2016,0.0
35020110,-0.8566697058,-0.6542701574,-0.615379524,-0.7188005677,2016,0.0
35020111,-0.7131576835,-0.1696762271,-0.770392459,-0.6816851439,2016,0.0
35020112,-0.6834644626,-0.6343388885,-0.5940693699,-0.9015398242,2016,0.0
35020113,-0.7345841451,-0.7681743325,-0.4534608556,-0.8637802656,2016,0.0
35020114,-0.3488479907,0.2680420661,0.901640528,-1.331559973,2016,0.0
35020115,-0.6220802211,-0.2311116994,-0.81712524,-0.8828673244,2016,0.0
35020116,-0.7641912115,-1.088197586,-0.6187410076,-0.6493632153,2016,0.0
35020117,-0.7311953946,-1.069581585,-0.6516725385,-0.6573929196,2016,0.0
35020118,-1.032889701,-0.8497321959,-1.27038251,-0.6676292148,2016,0.0
35020119,-0.5499808039,-0.9278689886,0.108318764,-0.9933776908,2016,0.0
35020120,-0.7392562685,-0.4924852036,-0.713105803,-0.8814500912,2016,0.0
35020121,-0.3622880952,-0.7533642189,-0.7184634453,-0.9336491019,2016,0.0
35020122,-0.8527554522,-1.169088627,-0.6503871871,-0.8450933615,2016,0.0
35020123,0.2255369535,0.9418474572,0.5987453958,-0.8503424612,2016,0.0
35020124,-0.6455739263,-0.2309066246,-0.571764621,-0.9407821397,2016,0.0
35020125,-0.3119709933,-0.1599698373,-0.1479363012,-0.8264398582,2016,0.0
35020126,-0.6981949156,-0.5500076259,-0.4905423497,-1.035861864,2016,0.0
35020127,-0.5725902228,-0.3164983276,0.2033194755,-1.077687812,2016,0.0
35020128,-0.857922423,-0.5053049191,-0.2965717941,-0.9160509659,2016,0.0
35020129,-0.7551718803,-0.7536895701,-0.3186529621,-0.9103873974,2016,0.0
35020130,-0.748690041,-0.6224597908,-0.9923681913,-0.6323327058,2016,0.0
35020131,0.930728493,0.1099145652,1.153149176,-1.209970217,2016,0.0
35020132,0.329988313,-0.3961033701,-0.2207651862,-1.004851807,2016,0.0
35020133,-0.8407255728,-1.032072057,-0.08020281741,-0.4947713277,2016,0.0
35020134,0.7386507244,0.8273153337,-0.426056074,-0.8115601221,2016,0.0
35020135,-0.5557632383,-0.8741616378,-0.4994638267,-0.6463058287,2016,0.0
35020136,-0.5152653949,-0.08575984184,-0.3509459669,-0.9707413143,2016,0.0
35020137,0.04134121098,-0.4663813942,0.2360327851,-1.121897848,2016,0.0
35020138,-0.6337800613,-0.1848789303,-0.6805850012,-1.045169862,2016,0.0
35020139,-0.5466016888,-0.7844907465,-0.592938769,-0.9699753562,2016,0.0
35020140,-0.6860344081,-0.5779274526,-0.8585363385,-0.6799536749,2016,0.0
35020141,-0.3312326771,-0.9401023889,-0.7088503426,-0.500049584,2016,0.0
35020142,-0.2251659074,-0.9419643229,-1.142784404,-0.6782297601,2016,0.0
35020143,-0.629045166,-0.7124803314,-0.08813915341,-1.201505734,2016,0.0
35020144,-0.9320102669,-0.6289855683,-0.7524375598,-0.4306026354,2016,0.0
35020145,-0.5782600229,-1.560659205,-0.9790813974,-0.8294398913,2016,0.0
35020146,-0.6186549361,-0.7124317119,-0.9035066827,-0.3454277177,2016,0.0
35020147,-0.5804434138,-0.8918707499,-0.3577400503,-0.7332277421,2016,0.0
35020148,0.8144447524,0.685967923,-0.295159929,-0.6128161446,2016,0.0
35020150,0.2946335071,-0.7319383523,0.6254543849,-0.7956990115,2016,0.0
35020151,0.1880532281,-0.5815271182,-0.6756916015,-0.8933857325,2016,0.0
35020152,0.2565665379,-0.6002979715,-0.1483714377,-0.7448027894,2016,0.0
35020153,-1.04357097,-0.9908499465,-0.7672813293,-0.2050015983,2016,0.0
35020154,-0.9703859792,-0.5033479567,-0.7481792343,-0.6803156814,2016,0.0
35020155,0.0002784263965,-0.6212121912,0.588752461,-0.4556519022,2016,0.0
35020156,-1.071420859,-0.9136134213,-1.01603195,-0.4240251754,2016,0.0
35020157,-0.4706607851,-0.3745840549,-0.3454483165,-0.5828725341,2016,0.0
35020158,-0.05423628727,-0.3932763672,-0.4193783771,-0.7552795792,2016,0.0
35020159,-0.8206865959,-1.04187068,-1.05430531,-0.6173146354,2016,0.0
35020160,-0.8025482083,-1.174739865,-0.9830181475,-0.2565908162,2016,0.0
35020161,-0.8125898906,-1.09159352,-0.9333988306,-0.4032250125,2016,0.0
35020162,-0.904163698,-0.818431311,-0.9577182433,-1.056176326,2016,0.0
35020163,-0.840230256,0.3240974529,-0.4989907934,-1.123743705,2016,0.0
35020164,-0.9936732099,-0.9271539025,0.1148595224,-0.3135304623,2016,0.0
35020165,-0.6247789331,-0.5830116414,-0.2893354984,-0.7311781112,2016,0.0
35020166,-0.757191676,-0.8031784604,-0.2520106779,-1.064223816,2016,0.0
35020167,-0.5661285298,-0.6845766258,-1.072239566,-0.9586919998,2016,0.0
35020168,-1.079283206,-0.399713575,-0.8381332301,-0.7079980239,2016,0.0
35020169,-0.5552323055,-0.1156176657,-0.4011187028,-0.8978527398,2016,0.0
35020170,0.06481416494,-0.05141034702,0.03421874749,-0.7428223775,2016,0.0
35020171,-0.1246805197,-0.2720693109,0.4686974632,-1.195522122,2016,0.0
35020172,-0.1317578336,0.3568372303,-0.2626876985,-1.024548412,2016,0.0
35020173,-0.3970532574,-0.09015789726,-0.3700113576,-1.198336091,2016,0.0
35020174,-0.3890020484,0.1981698055,-0.2332341586,-0.9613872891,2016,0.0
35020175,-0.7818201383,-0.3722607112,0.04880483915,-0.9486521361,2016,0.0
35020176,0.06037815404,-0.03967182508,1.066216404,-1.063121617,2016,0.0
35020177,0.7520953054,0.8511569067,0.01159814359,-0.8170820193,2016,0.0
35020178,0.4485488267,-0.3359426772,2.911302035,-1.037947521,2016,0.0
35020179,0.358400841,0.232902632,-0.3292913073,-0.922634659,2016,0.0
35020180,-0.3431765481,-0.8935135888,0.232654505,-0.9486796524,2016,0.0
35020181,-0.5917948458,-0.4918539292,0.6187923262,-1.001527511,2016,0.0
35020182,-0.5235718243,-0.3714362285,0.7634255436,-1.054828015,2016,0.0
35020183,2.021063336,0.9889899615,3.543881639,-0.8230307783,2016,0.0
35020184,1.770666824,1.504512721,3.210978452,-1.037797962,2016,0.0
35020185,-0.1009383706,3.778451842,-0.8270424467,0.4450323003,2016,0.0
35020186,0.9032109705,1.983569799,1.390612443,-1.266630085,2016,0.0
