DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration,patient_volume_2021
35010290,-0.8313520424802048,-0.7965853265387669,-1.049140456372462,-1.0849774991132228,0.0
35010291,-0.5539526634940931,-0.8901987478260123,-0.24551691716122698,-1.187866535095568,0.0
35010292,-0.5420301549637777,-0.8020957351379036,-0.19638874998598882,-1.0703429010832406,0.0
35010293,-0.4876127413077717,-0.34147927082598883,-0.4114283523635199,-1.1667037107763585,0.0
35010294,0.059566224922711575,-0.3207455639413519,0.043051388276386854,-0.7627683160795475,0.0
35010295,0.026456154095725326,-0.1627093597550715,0.5290919907777695,-0.8686468222874862,0.0
35010296,1.0064513987070103,0.45726736278108915,0.10148668792642768,-1.5319032834406552,0.0
35010297,-0.44904871797909635,-0.508629433805713,-0.5664829436849795,-0.9370270727936335,0.0
35010298,-0.4809154665459551,-0.41808474001871937,0.5415560446918667,-1.153899035846869,0.0
35010299,-0.3282390391185284,-0.7920821345274583,0.1874740731123561,-1.1064814355030792,0.0
35010300,0.28454341822201223,-0.7347748762869203,-0.5784050054416974,-1.5443744949442044,0.0
35010301,-0.011748320006237448,-0.43225128288799264,0.06719683326859127,-1.0262145740147892,0.0
35010302,0.04150089074293238,0.275981699339796,1.1878433873385807,-0.9302865449630482,0.0
35010303,-0.36366560895156497,-0.17358569729633294,0.038583385409494325,-1.2282492028110177,0.0
35010304,0.6032697907861798,-0.14005044211587309,2.0028085688105297,-0.6976539543519588,0.0
35010305,-0.8345490310081061,-0.5156669924828191,1.3355942610414282,-1.2148797319336446,0.0
35010306,0.3403054235166787,-0.46289305168748685,1.930894207187019,-0.8136031742715725,0.0
35010307,0.6722155843658393,-0.1874152339945311,0.5614104379821625,-1.4047620801748575,0.0
35010308,0.9796789233585035,0.1268654793505599,1.3822355165446123,-1.2972104785930365,0.0
35010309,2.1121184109258664,0.6990732131490662,-0.06671408752590771,-0.7275487278825234,0.0
35010310,0.1397792936962041,0.36910018780209986,1.6042914700265487,-1.0623112406582114,0.0
35010311,0.5053768352714222,-0.1210342661134635,0.37659833558823264,-0.9631450052075463,0.0
35010312,-0.08365938968922307,-0.19199632482774634,0.3981527704007268,-1.4517830429067755,0.0
35010313,-0.7805219371249311,-0.34190667032301586,0.7897212895273121,-1.3263110024402993,0.0
35010314,-0.5563661707571221,0.06613315682895154,1.3179946753147942,-1.3278103803843864,0.0
35010315,-0.5457621709194824,-0.2668630321182326,0.5351681381006849,-0.6996671516605981,0.0
35010316,-0.0952088976686,-0.1927625838465477,1.2247599134162312,-0.9302328718103823,0.0
35010317,-0.9342348792188793,-0.39237988279497815,-0.2658981414211341,-0.726882450159847,0.0
35010318,-0.28547881321307306,0.6406532986197513,0.32409288289432003,-1.0031962942569757,0.0
35010319,-1.0608115565674114,-0.17473976933602114,0.7627058873153487,-0.7856221436874501,0.0
35010320,-1.2343219970627504,-0.7004381273727227,0.20869343742368934,-0.8369163684702005,0.0
35010321,-0.29984264638386815,-0.5043550296539053,0.0603741458488525,-0.7450898048247564,0.0
35010322,0.30390243619596224,-0.6071589376410442,-0.7372611009415351,-1.2072744958733892,0.0
35010323,-0.31639235552028216,-0.6615751643229624,1.8285857837330566,-0.9211169418716101,0.0
35010324,0.40448857655732073,0.008102518286642046,0.9590217822191045,-1.1140077559657937,0.0
35010325,0.8093720314230367,0.6703140042710383,1.6497135479627978,-1.1219528800949905,0.0
35010328,-0.43459584079689084,-0.855431023000835,-0.04825652438758356,-0.9834787091614665,0.0
35010329,-0.8433268646325002,-0.5660689765286049,-0.7241005997978087,-0.9702205829622023,0.0
35010330,0.6828030820955967,-0.41942355866895925,0.2929452125584499,-1.0612947420439376,0.0
35010331,-0.1615423435865297,-0.19138286641632646,0.1432894245354287,-1.41583320386981,0.0
35010332,-0.810100827941018,-0.3951626966553273,-0.6031000522013473,-0.9639972592439973,0.0
35010333,-0.28294639730114285,-0.053287930193550714,0.10188398549775603,-0.9885704491794426,0.0
35010334,-0.2232700575355725,0.7281133908966952,1.0598794976877952,-1.2947173321638883,0.0
35010335,-0.21049536198421542,-0.28169339793117143,0.1112046483125916,-0.7491330180448764,0.0
35010336,0.9753230884963332,1.5255256730769549,1.2459989186062788,-0.8890120115557858,0.0
35010337,-0.7947149242102274,-0.017527915788372553,-0.2924501737223309,-0.9113663064618888,0.0
35010338,-0.6298161027065667,-0.37126004916211247,-0.4904300493525882,-1.4522304012750127,0.0
35010339,-1.3426783856464126,-0.7222183391357989,-0.7377317468042952,-0.9471698862650667,0.0
35010340,-0.41550616498055587,-0.8438059335117725,-0.5022892166257555,-0.9668649725630245,0.0
35010341,-0.18631303525877446,-0.33714760842762376,-0.24254300171103985,-1.2348655211410464,0.0
35010342,-0.9078884546367687,-0.1631690010761902,0.3691404667749836,-0.985252374490331,0.0
35010343,-0.6025466183621505,-0.7550950698964364,0.1582908812488244,-1.2185353514095891,0.0
35010344,-0.158808421002349,-0.4909140814209666,-1.0376376283079807,-1.1097423558497272,0.0
35010345,-0.47662828355158027,-0.45841730298915806,-0.5110464252762301,-1.0873781258269122,0.0
35010346,-0.23002304113735914,0.04333720103583471,0.0021364757505651782,-0.9425596678049983,0.0
35010347,-0.9243844356214667,-0.18521316910357682,-0.822053414043359,-0.6875051570284935,0.0
35010348,-0.9824984623430331,-0.5257447510182247,-0.3091660960143567,-1.0568787943393727,0.0
35010349,0.30501582820600337,0.6322208938341982,1.7388186634319036,-1.8174738999691482,0.0
35010350,0.28250735844471997,0.18495899784796593,-0.31581720248909273,-1.71692242047345,0.0
35010351,0.20351553026337793,-0.31820305320324993,0.17138096635727948,-1.0908279611729392,0.0
35010352,0.22049482484318195,-0.5405414364072968,-0.16474066589136616,-1.315501400527226,0.0
35010353,-0.1661433648369653,-0.6572749377179598,-0.39366808918997936,-1.3665887638784697,0.0
35010354,0.07773713447528488,-0.40080914186395245,-0.18170051312436306,-1.1184234666002606,0.0
35010355,-0.21325413269266869,-0.5129321504018487,-0.32441295974676426,-1.1006133804436358,0.0
35010356,0.5659341674632207,-0.43681370602828695,-0.3888117499687692,-1.0679852699912933,0.0
35010357,0.05516305522013412,-0.5108822089311633,-0.048652288734285426,-1.1698331732106,0.0
35010358,0.07209742034979208,-0.7178888230833647,0.7008937810483202,-1.0403590394872357,0.0
35010359,-0.1528523527065651,-0.03128875725635952,1.0841750202594733,-1.0638702516587508,0.0
35010360,-0.17623418802273372,-0.6730225289921127,0.3515670941952531,-1.158733967495397,0.0
35010361,1.273068535711338,1.2251611662714783,1.3488054560668117,-0.8716843955141763,0.0
35010362,0.8170935014930294,0.23194755602994108,0.8985063379326012,-0.9934192822558412,0.0
35010363,0.0971805790413252,1.2210574683644961,2.1066885595708995,-1.0419718781881842,0.0
35010364,0.6440124637988638,0.41569887321238147,-0.13240592753598376,-1.0963467750935243,0.0
35010365,1.6121039990653392,1.4617371231153113,1.164063374646056,-0.9296966573275858,0.0
35010366,1.5714099301008808,0.005232816554205072,1.5629897890409623,-0.9345499069965969,0.0
35010367,-0.1261475936237133,0.028981912948433886,1.165347850268586,-1.3856224738302894,0.0
35010369,-0.8553552647117885,-0.024612949264919276,0.029195935523142487,-1.089730134858904,0.0
35010370,-0.10704691094515605,-0.621052076819622,0.6575000357258961,-0.2791874530990194,0.0
35010371,-0.6184886213512887,-0.6011163125779958,-0.44490317098803417,-0.654601867573968,0.0
35010372,0.45929931683611136,-0.14256792593080655,0.18498133369076372,-1.2154584183750816,0.0
35010373,1.3824285222582986,0.5130075461266049,1.0329789626749457,-0.9301531499674875,0.0
35010374,1.1564717502433437,-0.4114486980794672,-0.1348401637230782,-0.15349213482481572,0.0
35010375,-0.8649750870288291,-0.7967227836476567,1.109164807403682,-0.6336110063005409,0.0
35010376,-0.8944296651681691,0.02906307027474081,0.8688762248594164,-1.0184426025954405,0.0
35010377,,,,,0.0
35010378,,,,,0.0
35010379,,,,,0.0
35010380,,,,,0.0
35010381,,,,,0.0
35010382,,,,,0.0
35010383,,,,,0.0
35010384,,,,,0.0
35010385,,,,,0.0
35010386,,,,,0.0
35010387,,,,,0.0
35010388,,,,,0.0
35010389,,,,,0.0
35010390,,,,,0.0
35010391,,,,,0.0
35010392,,,,,0.0
35010393,,,,,0.0
35010394,,,,,0.0
35010395,,,,,0.0
35010396,,,,,0.0
35010397,,,,,0.0
35010398,,,,,0.0
35010399,-0.3917207641008658,0.12445415672363809,0.8994163576569292,-0.8379620232274178,0.0
35010400,0.25383980955984253,0.5209678550826693,1.3059323842443074,-0.8911401663411006,0.0
