DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration
35020076,-0.7531293346452921,0.17066054517331145,1.5947483236675952,-0.8685286265849952
35020077,-0.22524525106115623,1.1072439379938066,2.7277264983123155,-0.887236538803936
35020078,-0.837851378814684,-0.3178839181851171,-0.03506512415332778,-0.6484052501004984
35020091,-0.8909651269461283,-0.39241411408159704,-0.8789708691156535,-0.1788888094653655
35020092,-0.8948979290819292,-0.6973934202788877,0.705355622656727,-0.7775822466629465
35020093,-0.8403509207518342,-0.5117481125525666,-0.06400877070879907,-0.8952298547640984
35020094,0.19345965590832553,0.14797174115421954,0.12952434255471035,-0.581777958604901
35020095,0.16360508722552747,0.7407217319132784,0.8996406049026313,-0.5182220013725707
35020096,-0.23725270135444376,-0.5647978357175893,1.3523133134622882,-1.14097005976807
35020097,-0.13939521434263583,-0.7118664972962445,-0.46935585414003367,-1.0255182551358786
35020098,-0.38871059838172395,-0.3660174269068811,1.0373040913281857,-1.2488907592498812
35020099,1.1282212004143373,0.4182178081655037,0.4150768259719489,-0.8499870877032933
35020100,0.007238750709834263,0.17915818943487966,1.0972996740432255,-0.8213078475131614
35020101,-0.5087315137995084,-0.2109701369938874,0.027472411206271263,-0.8531316583912943
35020102,-0.044182053370637575,-0.2111941673868561,1.2468279164163207,-0.9609902532889105
35020103,0.03528251909629669,-0.29241133959944254,-0.07670258132487723,-0.9718991800176107
35020104,0.669115512032503,0.04797388111690701,0.347393458381668,-0.48564634736370993
35020105,-0.6055648071825801,-0.4530714106682405,0.15318246549721876,-1.0150967620207143
35020106,-0.5830812796478222,-0.16272973441869804,-0.006471938665341084,-1.0087669250331077
35020107,-0.1773799060246123,-0.7531755725039986,-0.3374198910741116,-0.6297360232823119
35020108,-0.2587052284523352,-0.026138044595452825,-0.4427230571328676,-0.8802420790397381
35020109,-0.5641057193414494,-0.3859395432703683,0.4559209513496843,-0.9941067046254786
35020110,-0.6542701573755099,-0.856669705786812,-0.6153795239829102,-0.7188005677260061
35020111,-0.1696762270976221,-0.7131576835101838,-0.7703924589513166,-0.6816851438733409
35020112,-0.6343388885397889,-0.6834644625681834,-0.5940693698913448,-0.9015398241892074
35020113,-0.7681743325305916,-0.7345841450943431,-0.45346085558696264,-0.8637802655961486
35020114,0.26804206609922876,-0.3488479906510257,0.9016405279746693,-1.3315599727370007
35020115,-0.2311116994212675,-0.6220802210661374,-0.8171252399800429,-0.8828673244412699
